student_id,subject,it1_score,it2_score,final_score,roll_avg_w4,roll_avg_w8,roll_avg_w12,assignment_avg,score_trend,weighted_score
STU0001,Machine Learning,90.0,92.0,95.0,33.8,24.6,0,34.0,0,93.0
STU0001,Deep Learning,76.0,80.0,84.0,60.7,49.3,0,60.6,0,81.0
STU0001,Python for AI,32.1,45.0,57.7,53.4,44.9,0,51.4,0,48.1
STU0001,Data Structures & Algorithms,46.5,32.5,100.0,68.7,54.7,0,69.9,0,69.7
STU0001,Statistics for AI,21.8,19.8,44.9,30.0,27.0,0,34.0,0,32.8
STU0002,Machine Learning,65.1,71.5,52.8,67.6,73.7,0,70.3,0,60.5
STU0002,Deep Learning,87.3,52.1,87.3,77.5,70.9,0,76.4,0,78.5
STU0002,Python for AI,91.0,93.0,95.0,54.8,55.3,0,56.7,0,93.5
STU0002,Data Structures & Algorithms,15.7,17.9,23.1,26.8,28.3,0,26.8,0,20.0
STU0002,Statistics for AI,89.0,91.3,69.3,91.5,85.4,0,87.9,0,79.7
STU0003,Machine Learning,50.4,48.0,43.3,51.9,47.0,0,49.2,0,46.2
STU0003,Deep Learning,51.4,39.7,20.8,44.5,43.3,0,43.8,0,33.2
STU0003,Python for AI,52.3,38.0,37.1,41.6,42.8,0,43.6,0,41.1
STU0003,Data Structures & Algorithms,99.0,79.8,96.9,100.0,96.0,0,96.5,0,93.2
STU0003,Statistics for AI,80.7,81.4,62.9,79.9,68.9,0,74.1,0,72.0
STU0004,Machine Learning,21.3,41.3,6.4,29.0,34.3,0,31.0,0,18.8
STU0004,Deep Learning,46.8,48.9,28.3,47.8,46.9,0,44.9,0,38.1
STU0004,Python for AI,36.2,15.8,35.6,25.7,25.1,0,25.5,0,30.8
STU0004,Data Structures & Algorithms,49.2,44.6,41.1,53.2,48.7,0,50.5,0,44.0
STU0004,Statistics for AI,76.6,71.8,79.3,79.1,73.1,0,75.0,0,76.8
STU0005,Machine Learning,100.0,85.2,75.9,86.9,88.9,0,85.9,0,84.3
STU0005,Deep Learning,95.4,94.3,93.5,100.0,100.0,0,100.0,0,94.2
STU0005,Python for AI,97.5,98.7,96.1,100.0,99.6,0,99.7,0,97.1
STU0005,Data Structures & Algorithms,80.6,90.9,89.9,90.0,94.8,0,91.6,0,87.8
STU0005,Statistics for AI,88.8,100.0,75.4,97.9,95.7,0,96.1,0,84.9
STU0006,Machine Learning,0.0,0.0,34.7,22.8,10.5,0,21.6,0,17.3
STU0006,Deep Learning,13.5,25.5,40.6,37.0,37.6,0,43.7,0,30.0
STU0006,Python for AI,39.2,24.5,74.4,61.4,42.4,0,59.0,0,53.1
STU0006,Data Structures & Algorithms,1.1,35.8,40.5,32.7,21.5,0,33.3,0,29.5
STU0006,Statistics for AI,33.9,41.4,68.4,59.5,39.3,0,58.2,0,53.0
STU0007,Machine Learning,33.1,52.7,26.2,52.1,41.9,0,43.8,0,34.5
STU0007,Deep Learning,45.0,40.1,42.3,46.2,49.0,0,50.1,0,42.4
STU0007,Python for AI,100.0,87.3,98.3,94.8,89.7,0,93.4,0,96.0
STU0007,Data Structures & Algorithms,76.9,79.2,64.2,84.3,72.7,0,77.6,0,71.1
STU0007,Statistics for AI,41.2,42.2,45.0,45.9,52.0,0,48.9,0,43.3
